clause_id,clause_type,model,detail_level,rater,clarity_1_5,faithfulness_1_5,completeness_1_5,notes
bench-00,Warranty Duration,tinyllama,standard,,,,,
bench-00,Warranty Duration,phi2,standard,,,,,
bench-00,Warranty Duration,anthropic,standard,,,,,
bench-01,Warranty Duration,tinyllama,standard,,,,,
bench-01,Warranty Duration,phi2,standard,,,,,
bench-01,Warranty Duration,anthropic,standard,,,,,
bench-02,No-Solicit Of Employees,tinyllama,standard,,,,,
bench-02,No-Solicit Of Employees,phi2,standard,,,,,
bench-02,No-Solicit Of Employees,anthropic,standard,,,,,
bench-03,No-Solicit Of Employees,tinyllama,standard,,,,,
bench-03,No-Solicit Of Employees,phi2,standard,,,,,
bench-03,No-Solicit Of Employees,anthropic,standard,,,,,
bench-04,License Grant,tinyllama,standard,,,,,
bench-04,License Grant,phi2,standard,,,,,
bench-04,License Grant,anthropic,standard,,,,,
bench-05,License Grant,tinyllama,standard,,,,,
bench-05,License Grant,phi2,standard,,,,,
bench-05,License Grant,anthropic,standard,,,,,
bench-06,Non-Disparagement,tinyllama,standard,,,,,
bench-06,Non-Disparagement,phi2,standard,,,,,
bench-06,Non-Disparagement,anthropic,standard,,,,,
bench-07,Non-Disparagement,tinyllama,standard,,,,,
bench-07,Non-Disparagement,phi2,standard,,,,,
bench-07,Non-Disparagement,anthropic,standard,,,,,
bench-08,Insurance,tinyllama,standard,,,,,
bench-08,Insurance,phi2,standard,,,,,
bench-08,Insurance,anthropic,standard,,,,,
bench-09,Insurance,tinyllama,standard,,,,,
bench-09,Insurance,phi2,standard,,,,,
bench-09,Insurance,anthropic,standard,,,,,
bench-10,Governing Law,tinyllama,standard,,,,,
bench-10,Governing Law,phi2,standard,,,,,
bench-10,Governing Law,anthropic,standard,,,,,
bench-11,Governing Law,tinyllama,standard,,,,,
bench-11,Governing Law,phi2,standard,,,,,
bench-11,Governing Law,anthropic,standard,,,,,
bench-12,Non-Compete,tinyllama,standard,,,,,
bench-12,Non-Compete,phi2,standard,,,,,
bench-12,Non-Compete,anthropic,standard,,,,,
bench-13,Non-Compete,tinyllama,standard,,,,,
bench-13,Non-Compete,phi2,standard,,,,,
bench-13,Non-Compete,anthropic,standard,,,,,
bench-14,Source Code Escrow,tinyllama,standard,,,,,
bench-14,Source Code Escrow,phi2,standard,,,,,
bench-14,Source Code Escrow,anthropic,standard,,,,,
bench-15,Source Code Escrow,tinyllama,standard,,,,,
bench-15,Source Code Escrow,phi2,standard,,,,,
bench-15,Source Code Escrow,anthropic,standard,,,,,
bench-16,Parties,tinyllama,standard,,,,,
bench-16,Parties,phi2,standard,,,,,
bench-16,Parties,anthropic,standard,,,,,
bench-17,Parties,tinyllama,standard,,,,,
bench-17,Parties,phi2,standard,,,,,
bench-17,Parties,anthropic,standard,,,,,
bench-18,Anti-Assignment,tinyllama,standard,,,,,
bench-18,Anti-Assignment,phi2,standard,,,,,
bench-18,Anti-Assignment,anthropic,standard,,,,,
bench-19,Anti-Assignment,tinyllama,standard,,,,,
bench-19,Anti-Assignment,phi2,standard,,,,,
bench-19,Anti-Assignment,anthropic,standard,,,,,
